6,14,11,3,0,8,5,13,10,2,15,7>14,11,3,0,8,5,13,10,2,15,7,4
6,15,4,13,2,11,7,0,9,5,14,3>15,4,13,2,11,7,0,9,5,14,3,12
6,15,4,13,9,2,11,7,0,5,14,3>15,4,13,9,2,11,7,0,5,14,3,12
6,15,8,1,10,3,12,5,14,7,0,9>15,8,1,10,3,12,5,14,7,0,9,2
6,15,8,4,13,2,11,0,9,5,14,7>15,8,4,13,2,11,0,9,5,14,7,3
6,15,11,4,9,2,7,0,12,5,14,10>15,11,4,9,2,7,0,12,5,14,10,3
6,15,11,4,13,9,2,7,0,5,14,10>15,11,4,13,9,2,7,0,5,14,10,3
7,0,5,14,3,12,8,1,10,6,15,4>0,5,14,3,12,8,1,10,6,15,4,13
7,0,5,14,10,3,12,8,1,6,15,4>0,5,14,10,3,12,8,1,6,15,4,13
7,0,9,2,11,4,13,6,15,8,1,10>0,9,2,11,4,13,6,15,8,1,10,3
7,0,9,5,14,3,12,1,10,6,15,8>0,9,5,14,3,12,1,10,6,15,8,4
7,0,12,5,10,3,8,1,13,6,15,11>0,12,5,10,3,8,1,13,6,15,11,4
7,0,12,5,10,3,15,8,1,13,6,11>0,12,5,10,3,15,8,1,13,6,11,4
7,0,12,5,14,10,3,8,1,6,15,11>0,12,5,14,10,3,8,1,6,15,11,4
7,2,9,4,11,15,6,13,1,8,3,10>2,9,4,11,15,6,13,1,8,3,10,5
7,2,9,13,4,11,15,6,1,8,3,10>2,9,13,4,11,15,6,1,8,3,10,14
7,2,14,9,4,11,6,1,13,8,3,15>2,14,9,4,11,6,1,13,8,3,15,10
7,3,12,1,10,15,8,4,13,6,2,11>3,12,1,10,15,8,4,13,6,2,11,0
7,3,12,5,1,10,15,8,13,6,2,11>3,12,5,1,10,15,8,13,6,2,11,4
7,4,12,9,1,14,6,3,11,8,0,13>4,12,9,1,14,6,3,11,8,0,13,5
7,10,2,5,13,0,8,11,3,6,14,1>10,2,5,13,0,8,11,3,6,14,1,9
7,11,2,9,13,4,15,6,1,8,12,3>11,2,9,13,4,15,6,1,8,12,3,10
