word_decimal	rank	phase
16260183921679152	89996	0
16260183921679165	89995	0
16260183938456368	89992	0
16260183938456381	89991	0
16260183938460464	89988	0
16260183938460477	89987	0
16261274860154160	89984	0
16261274860154176	89981	0
16261283450088240	89978	0
16261283450088253	89977	0
16261283450088256	89974	0
16261283450088269	89973	0
16348072945815606	92898	1
16348072945815766	93509	0
16348072947912758	92898	1
16348072947912762	93600	0
16348072947912886	93599	0
16348077240782902	89972	0
16348077241831478	89971	0
16348210384760886	89950	0
16348210384761046	89949	0
16348210386858038	92898	1
16348210386858042	93653	0
16348210386858166	93652	0
16348214679728182	89948	0
16348214680776758	89947	0
16348330706784314	89945	0
16348330708881462	89944	0
16348330709143666	89943	0
16348330709144176	89940	0
16348332755669052	102730	0
16348468145729594	89938	0
16348468147826742	89937	0
16348468148088946	89936	0
16348468148089456	89934	0
16350409408016596	89933	0
16350409408147666	89932	0
16350409408148176	89931	0
16350409410113594	89929	0
16350409410113716	89928	0
16350409410244666	89926	0
16350409410244786	89925	0
16350409410245296	89924	0
16350409877770456	89923	0
16350409879867576	89922	0
16350529732137076	89921	0
16350529732268146	89920	0
16350529732268656	89919	0
16350531745370236	102717	0
16350667171082356	89918	0
16350667171213426	89917	0
16350667171213936	89916	0
16352334023135446	89915	0
16352334025232566	89914	0
16356716496205456	89899	0
16356716496688784	89891	0
16356716496688786	89885	0
16356716496688816	89855	0
16356716496688818	89849	0
16356716526048400	89796	0
16356716526048432	89722	0
16356716526048440	89708	0
16356982849187898	89654	0
16416241593128496	89650	0
16416241593128656	89649	0
16416241595225648	89641	0
16416241595225658	89639	0
16416241595225776	89638	0
16416245888095792	89637	0
16416245889144368	89636	0
16416353325201456	89631	0
16416353325201466	89623	0
16416353325209648	89609	0
16416353325209658	89607	0
16416353341978672	89606	0
16416353341978682	89604	0
16416353341982768	89603	0
16416353341982778	89601	0
16416353341982779	89599	0
16416356345059386	89597	0
16416356345059387	89596	0
16416356345059388	89595	0
