state,rank,phase,component_size,component_period
"15,6,1,8,3,10,14,5,12,0,7,2",38204,5,151,16
"15,6,1,8,12,3,10,14,5,0,7,2",38204,5,151,16
"15,6,10,1,8,12,3,14,5,0,7,11",38204,5,151,16
"15,6,10,1,12,3,14,5,9,0,7,11",38204,6,151,16
"15,6,13,1,8,3,10,5,12,0,7,14",38204,4,151,16
"15,6,13,4,11,2,9,0,7,14,5,12",37340,9,16,16
"15,7,4,12,9,1,14,6,3,11,8,0",37214,6,32,32
"15,7,10,2,5,13,0,8,11,3,6,14",38494,9,32,32
"15,8,1,10,3,12,5,14,7,0,9,2",38184,3,16,16
"15,8,1,13,6,11,4,9,2,14,7,0",38001,12,151,16
"15,8,4,13,2,11,0,9,5,14,7,3",38001,14,151,16
"15,8,4,13,6,2,11,0,9,14,7,3",38001,13,151,16
"15,8,13,6,2,11,4,0,9,14,7,12",38001,13,151,16
"15,8,13,6,11,4,0,9,2,14,7,12",38001,13,151,16
"15,10,1,5,12,3,7,14,9,0,11,2",38204,7,151,16
"15,10,1,12,3,7,14,5,9,0,11,2",38204,7,151,16
"15,10,5,0,12,7,2,14,9,4,11,6",38373,9,16,16
"15,11,4,9,2,7,0,12,5,14,10,3",38001,0,151,16
"15,11,4,13,9,2,7,0,5,14,10,3",38001,15,151,16
"15,12,4,1,9,6,14,11,3,0,8,5",37214,7,32,32
